df_dtc,df_dtc,df_dtc,df_dtc,df_dtc,df_dtc,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T0,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_T4,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2,df_bamh_GT4AT2
Date,Observation Type,Nobs,Jo,Jo/n,Iter,Date,Observation Type,Nobs,Jo,Jo/n,Iter,Date,Observation Type,Nobs,Jo,Jo/n,Iter,Date,Observation Type,Nobs,Jo,Jo/n,Iter
2023-03-12 18:00:00,gps,141352,169152.77014821314,1.197,OMF (2nd INNER LOOP),2023-03-12 18:00:00,gps,141253,179165.58615089988,1.268,OMF (2nd INNER LOOP),2023-03-12 18:00:00,gps,141677,148715.64544494363,1.05,OMF (2nd INNER LOOP),2023-03-12 18:00:00,gps,141071,118194.9405362123,0.838,OMF (2nd INNER LOOP)
2023-03-12 18:00:00,radiance,173615,55292.57088608801,0.318,OMF (2nd INNER LOOP),2023-03-12 18:00:00,radiance,174279,57547.1644189874,0.33,OMF (2nd INNER LOOP),2023-03-12 18:00:00,radiance,174656,54069.98067368596,0.31,OMF (2nd INNER LOOP),2023-03-12 18:00:00,radiance,173175,51436.03362505123,0.297,OMF (2nd INNER LOOP)
2023-03-12 18:00:00,Jo Global,533320,282952.8707522444,0.531,OMF (2nd INNER LOOP),2023-03-12 18:00:00,Jo Global,533920,294330.44165372447,0.551,OMF (2nd INNER LOOP),2023-03-12 18:00:00,Jo Global,534819,252710.26043161427,0.473,OMF (2nd INNER LOOP),2023-03-12 18:00:00,Jo Global,532731,213038.32800447283,0.4,OMF (2nd INNER LOOP)
2023-03-12 18:00:00,surface pressure,93191,19796.70112898575,0.212,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,surface pressure,93169,20090.781510053384,0.216,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,surface pressure,93204,18196.61985711016,0.195,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,surface pressure,93227,16202.132352823164,0.174,OMA (AFTER 1st OUTER LOOP)
2023-03-12 18:00:00,temperature,19275,6194.34793963112,0.321,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,temperature,19276,5616.34144741023,0.291,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,temperature,19278,4617.955594092337,0.24,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,temperature,19278,3871.7462651909173,0.201,OMA (AFTER 1st OUTER LOOP)
2023-03-12 18:00:00,wind,99754,33188.888451167986,0.333,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,wind,99806,32545.64187031965,0.326,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,wind,100020,28663.49809543778,0.287,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,wind,100120,25090.326173955345,0.251,OMA (AFTER 1st OUTER LOOP)
2023-03-12 18:00:00,moisture,6668,1100.2735022304466,0.165,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,moisture,6668,999.6072395087602,0.15,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,moisture,6668,655.2278692887676,0.098,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,moisture,6668,478.26734289920535,0.072,OMA (AFTER 1st OUTER LOOP)
2023-03-12 18:00:00,gps,143069,175235.20307352504,1.225,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,gps,143164,184925.9994762393,1.292,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,gps,144442,155398.94237182091,1.076,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,gps,144618,128056.21915319593,0.885,OMA (AFTER 1st OUTER LOOP)
2023-03-12 18:00:00,radiance,175782,58367.92350574904,0.332,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,radiance,176310,60694.54912745633,0.344,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,radiance,177374,57515.23850178124,0.324,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,radiance,176708,55659.73186585182,0.315,OMA (AFTER 1st OUTER LOOP)
2023-03-12 18:00:00,Jo Global,537739,293883.3376012894,0.547,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,Jo Global,538393,304872.92067098763,0.566,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,Jo Global,540986,265047.4822895312,0.49,OMA (AFTER 1st OUTER LOOP),2023-03-12 18:00:00,Jo Global,540619,229358.42315391637,0.424,OMA (AFTER 1st OUTER LOOP)
