,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH_20230216002023030300T.scan,5,120,0.673,0.658,0.962,0.642,0.961,0.514,0.64,0.502,0.705,0.703,0.411,0.995,1.0,0.675,0.49,0.656,0.573,0.427,0.52,0.498
ACORBAMH_20230216002023030300T.scan,6,144,0.641,0.612,0.952,0.596,0.952,0.411,0.566,0.427,0.673,0.673,0.332,0.994,0.999,0.572,0.4,0.57,0.471,0.32,0.394,0.345
ACORBAMH_20230216002023030300T.scan,7,168,0.593,0.551,0.944,0.533,0.943,0.308,0.471,0.37,0.654,0.645,0.262,0.992,0.999,0.49,0.335,0.499,0.396,0.224,0.264,0.246
ACORBAMH_20230216002023030300T.scan,8,192,0.568,0.515,0.935,0.498,0.934,0.242,0.378,0.316,0.63,0.618,0.193,0.99,0.999,0.396,0.254,0.414,0.292,0.129,0.164,0.147
ACORBAMH_20230216002023030300T.scan,9,216,0.56,0.497,0.924,0.483,0.924,0.185,0.314,0.263,0.61,0.595,0.135,0.989,0.999,0.276,0.184,0.333,0.174,0.091,0.093,0.06
ACORBAMH_20230216002023030300T.scan,10,240,0.556,0.481,0.914,0.468,0.913,0.171,0.278,0.231,0.605,0.574,0.094,0.988,0.999,0.192,0.155,0.298,0.117,0.075,0.064,0.019
ACORBAMH_20230216002023030300T.scan,11,264,0.549,0.468,0.907,0.456,0.907,0.134,0.244,0.228,0.605,0.569,0.093,0.986,0.999,0.144,0.127,0.257,0.091,0.069,0.037,-0.012
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,2.569,2.396,0.783,2.405,0.785,0.966,3.441,0.001,0.001,0.0,2.212,17.636,12.858,13.446,2.822,2.476,3.081,2.658,2.444,3.155
RMSEX666_20230216002023030300T.scan,2,48,2.915,2.84,1.295,2.841,1.291,1.531,4.386,0.001,0.001,0.001,3.553,25.58,24.354,28.261,3.624,3.598,4.887,3.427,3.566,4.964
RMSEX666_20230216002023030300T.scan,3,72,3.222,3.222,1.811,3.208,1.801,2.088,5.252,0.001,0.002,0.001,4.666,33.366,36.385,44.814,4.425,4.818,6.806,4.163,4.857,7.061
RMSEX666_20230216002023030300T.scan,4,96,3.642,3.691,2.348,3.656,2.331,2.61,6.107,0.001,0.002,0.001,5.681,41.165,50.692,65.832,5.203,6.08,8.832,4.986,6.342,9.46
RMSEX666_20230216002023030300T.scan,5,120,4.009,4.138,2.95,4.083,2.925,3.125,7.199,0.001,0.002,0.001,6.492,50.775,66.693,88.903,5.933,7.374,10.759,5.786,7.767,11.747
RMSEX666_20230216002023030300T.scan,6,144,4.422,4.655,3.471,4.581,3.44,3.486,8.328,0.002,0.002,0.001,7.186,60.663,83.344,111.094,6.638,8.642,12.621,6.589,9.114,13.828
RMSEX666_20230216002023030300T.scan,7,168,4.811,5.104,3.94,5.009,3.905,3.802,9.232,0.002,0.002,0.001,7.724,69.242,99.313,133.588,7.171,9.705,14.028,7.192,10.341,15.579
RMSEX666_20230216002023030300T.scan,8,192,5.226,5.54,4.321,5.431,4.284,4.039,9.879,0.002,0.002,0.001,8.145,75.261,111.122,150.493,7.635,10.373,14.912,7.741,11.266,16.859
RMSEX666_20230216002023030300T.scan,9,216,5.468,5.787,4.624,5.668,4.585,4.212,10.779,0.002,0.002,0.001,8.517,83.287,122.599,165.004,8.171,11.144,16.046,8.118,11.721,17.437
RMSEX666_20230216002023030300T.scan,10,240,5.646,6.053,4.904,5.922,4.86,4.315,11.351,0.002,0.002,0.001,8.74,88.323,131.363,178.512,8.493,11.663,16.945,8.384,12.014,18.008
RMSEX666_20230216002023030300T.scan,11,264,5.874,6.321,5.186,6.185,5.139,4.444,11.5,0.002,0.002,0.001,8.97,89.113,135.376,187.996,8.632,11.897,17.591,8.489,12.365,18.788
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,1.46,1.568,1.111,1.56,1.113,1.247,2.572,0.001,0.001,0.001,1.753,19.313,18.799,26.264,2.504,2.048,3.825,2.46,2.064,4.018
RMSEDTC_20230216002023030300T.scan,2,48,2.092,2.231,1.737,2.199,1.732,1.952,3.841,0.001,0.001,0.001,3.644,29.07,28.424,43.047,3.883,3.188,5.965,3.783,3.288,6.352
RMSEDTC_20230216002023030300T.scan,3,72,2.593,2.764,2.292,2.707,2.281,2.533,4.883,0.001,0.001,0.001,5.074,37.364,37.653,62.806,5.076,4.268,8.02,4.811,4.315,8.633
RMSEDTC_20230216002023030300T.scan,4,96,3.069,3.281,2.869,3.201,2.85,3.07,6.218,0.001,0.001,0.002,6.154,48.027,49.85,85.327,6.061,5.313,10.149,5.819,5.418,11.043
