,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH_20230216002023030300T.scan,5,120,0.651,0.706,0.971,0.688,0.97,0.639,0.728,0.617,0.791,0.8,0.487,0.996,1.0,0.8,0.542,0.747,0.666,0.49,0.597,0.591
ACORBAMH_20230216002023030300T.scan,6,144,0.613,0.666,0.963,0.647,0.962,0.561,0.658,0.562,0.767,0.778,0.414,0.994,1.0,0.734,0.468,0.695,0.59,0.388,0.483,0.476
ACORBAMH_20230216002023030300T.scan,7,168,0.58,0.631,0.956,0.611,0.955,0.497,0.58,0.526,0.752,0.759,0.355,0.993,0.999,0.669,0.413,0.648,0.523,0.311,0.4,0.397
ACORBAMH_20230216002023030300T.scan,8,192,0.562,0.609,0.949,0.589,0.948,0.448,0.523,0.494,0.737,0.741,0.303,0.992,0.999,0.603,0.356,0.602,0.451,0.239,0.325,0.31
ACORBAMH_20230216002023030300T.scan,9,216,0.534,0.581,0.943,0.561,0.942,0.409,0.458,0.453,0.721,0.726,0.253,0.99,0.999,0.518,0.301,0.556,0.378,0.197,0.266,0.246
ACORBAMH_20230216002023030300T.scan,10,240,0.536,0.577,0.937,0.557,0.936,0.396,0.399,0.435,0.716,0.712,0.219,0.989,0.999,0.44,0.259,0.519,0.311,0.173,0.22,0.189
ACORBAMH_20230216002023030300T.scan,11,264,0.535,0.574,0.933,0.554,0.931,0.36,0.346,0.44,0.717,0.704,0.213,0.988,0.999,0.382,0.229,0.482,0.276,0.155,0.184,0.151
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,2.748,2.103,0.766,2.121,0.77,0.843,2.982,0.001,0.001,0.0,2.3,15.962,13.054,12.977,3.046,2.611,3.085,2.88,2.516,3.037
RMSEX666_20230216002023030300T.scan,2,48,3.385,2.708,1.283,2.717,1.282,1.327,4.166,0.001,0.001,0.001,3.504,24.219,23.968,25.698,3.918,3.794,4.713,3.698,3.664,4.636
RMSEX666_20230216002023030300T.scan,3,72,3.852,3.223,1.829,3.215,1.824,1.84,5.291,0.001,0.002,0.001,4.474,32.911,36.644,41.658,4.774,5.104,6.507,4.455,4.951,6.491
RMSEX666_20230216002023030300T.scan,4,96,4.249,3.697,2.331,3.672,2.322,2.336,6.382,0.001,0.002,0.001,5.286,41.568,49.876,59.725,5.538,6.354,8.288,5.215,6.318,8.536
RMSEX666_20230216002023030300T.scan,5,120,4.52,4.073,2.831,4.033,2.816,2.78,7.505,0.002,0.002,0.001,5.978,50.975,62.69,78.213,6.243,7.518,10.033,5.943,7.597,10.554
RMSEX666_20230216002023030300T.scan,6,144,4.805,4.482,3.35,4.428,3.331,3.131,8.529,0.002,0.002,0.001,6.536,60.079,77.9,99.531,6.838,8.565,11.69,6.634,8.86,12.397
RMSEX666_20230216002023030300T.scan,7,168,5.122,4.899,3.865,4.831,3.843,3.439,9.362,0.002,0.002,0.001,6.996,67.667,91.622,119.287,7.228,9.422,13.016,7.15,9.76,13.608
RMSEX666_20230216002023030300T.scan,8,192,5.41,5.243,4.25,5.164,4.226,3.705,10.088,0.002,0.002,0.001,7.377,74.234,103.944,136.598,7.648,10.259,14.163,7.583,10.589,14.867
RMSEX666_20230216002023030300T.scan,9,216,5.527,5.37,4.477,5.283,4.452,3.833,10.87,0.002,0.002,0.001,7.708,81.6,113.935,149.007,8.08,10.921,15.297,7.849,11.066,15.746
RMSEX666_20230216002023030300T.scan,10,240,5.6,5.525,4.653,5.433,4.624,3.954,11.423,0.002,0.002,0.001,7.915,86.35,121.343,159.217,8.425,11.55,16.152,7.987,11.188,16.167
RMSEX666_20230216002023030300T.scan,11,264,5.713,5.667,4.781,5.572,4.751,4.061,11.696,0.002,0.002,0.001,8.127,88.619,125.294,165.955,8.53,11.661,16.391,8.154,11.441,16.495
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,1.865,1.834,1.084,1.825,1.088,1.111,2.911,0.001,0.001,0.001,1.606,21.64,20.579,25.439,2.758,2.213,3.609,2.674,2.122,3.701
RMSEDTC_20230216002023030300T.scan,2,48,2.638,2.613,1.707,2.59,1.709,1.7,4.186,0.001,0.001,0.001,3.121,30.473,28.278,38.384,4.051,3.3,5.532,3.929,3.211,5.688
RMSEDTC_20230216002023030300T.scan,3,72,3.193,3.187,2.263,3.147,2.261,2.233,5.286,0.001,0.001,0.001,4.276,38.687,37.054,55.142,5.057,4.296,7.381,4.896,4.164,7.64
RMSEDTC_20230216002023030300T.scan,4,96,3.625,3.637,2.771,3.583,2.762,2.704,6.414,0.001,0.001,0.001,5.128,47.555,46.964,72.649,5.88,5.199,9.133,5.764,5.115,9.598
RMSEDTC_20230216002023030300T.scan,5,120,3.985,4.019,3.243,3.948,3.225,3.108,7.257,0.001,0.002,0.002,5.808,54.257,55.652,90.537,6.513,5.974,10.751,6.419,5.974,11.543
RMSEDTC_20230216002023030300T.scan,6,144,4.216,4.304,3.692,4.221,3.666,3.443,8.116,0.002,0.002,0.002,6.309,61.497,65.31,109.467,6.961,6.573,12.107,7.041,6.858,13.141
