,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH_20230216002023030300T.scan,5,120,0.803,0.883,0.989,0.868,0.988,0.573,0.36,0.616,0.677,0.874,0.357,0.998,1.0,0.595,0.43,0.633,0.518,0.421,0.401,0.361
ACORBAMH_20230216002023030300T.scan,6,144,0.784,0.869,0.988,0.852,0.987,0.515,0.309,0.593,0.655,0.866,0.316,0.998,1.0,0.593,0.389,0.595,0.455,0.383,0.369,0.302
ACORBAMH_20230216002023030300T.scan,7,168,0.76,0.853,0.986,0.836,0.985,0.473,0.201,0.575,0.652,0.853,0.27,0.998,1.0,0.521,0.324,0.553,0.422,0.316,0.278,0.188
ACORBAMH_20230216002023030300T.scan,8,192,0.72,0.828,0.983,0.811,0.982,0.489,0.076,0.539,0.641,0.836,0.22,0.997,1.0,0.424,0.248,0.479,0.386,0.185,0.142,0.103
ACORBAMH_20230216002023030300T.scan,9,216,0.729,0.828,0.98,0.81,0.979,0.512,0.095,0.51,0.633,0.827,0.2,0.997,1.0,0.366,0.29,0.448,0.372,0.191,0.108,0.044
ACORBAMH_20230216002023030300T.scan,10,240,0.715,0.813,0.976,0.796,0.975,0.488,0.125,0.475,0.607,0.819,0.159,0.997,1.0,0.314,0.319,0.435,0.285,0.228,0.139,-0.022
ACORBAMH_20230216002023030300T.scan,11,264,0.698,0.807,0.976,0.791,0.975,0.466,0.179,0.477,0.613,0.821,0.166,0.997,1.0,0.328,0.281,0.423,0.261,0.23,0.123,-0.012
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,1.824,1.583,0.871,1.652,0.886,0.783,1.543,0.002,0.001,0.001,3.327,10.896,10.87,15.579,2.954,2.462,3.619,2.568,2.411,3.657
RMSEX666_20230216002023030300T.scan,2,48,2.1,1.909,1.127,1.973,1.14,1.072,2.094,0.002,0.002,0.001,4.741,15.598,12.713,18.674,3.6,3.228,5.083,3.058,2.926,4.959
RMSEX666_20230216002023030300T.scan,3,72,2.272,2.106,1.313,2.172,1.326,1.242,2.753,0.002,0.002,0.001,5.614,20.839,18.124,25.951,3.993,4.03,6.048,3.452,3.616,6.402
RMSEX666_20230216002023030300T.scan,4,96,2.427,2.277,1.507,2.344,1.519,1.381,3.331,0.002,0.002,0.001,6.367,25.713,25.063,34.818,4.142,4.609,6.705,3.74,4.353,7.427
RMSEX666_20230216002023030300T.scan,5,120,2.613,2.48,1.682,2.551,1.694,1.37,3.576,0.002,0.002,0.001,7.133,27.953,27.494,40.627,4.367,5.15,7.825,3.942,4.67,8.133
RMSEX666_20230216002023030300T.scan,6,144,2.907,2.827,2.048,2.884,2.054,1.49,3.784,0.002,0.003,0.001,7.756,29.128,32.545,52.52,4.47,5.836,9.039,4.265,5.215,9.555
RMSEX666_20230216002023030300T.scan,7,168,3.108,3.068,2.215,3.106,2.214,1.694,3.941,0.002,0.003,0.001,8.144,30.373,40.026,64.759,4.689,6.381,10.121,4.587,6.136,11.432
RMSEX666_20230216002023030300T.scan,8,192,3.304,3.335,2.569,3.339,2.557,1.78,4.486,0.002,0.003,0.001,8.667,35.042,49.212,80.176,4.978,6.981,11.401,5.031,6.842,13.124
